rank;call_id;answer_id;n_total_words;n_positive_words;f_positive_words;answer_text1;1;101;1;0.0099009900990099;yes, we obviously have to make some assumptions going forward in house prices and they are not that different than the assumptions you would see in most other that get published by case-shiller, etc. right now, they have a modest increase in home prices in 2013 and '14. i will stick with just those two years. but if it was 5% better than that, which is possible, that would run through our books in lower charge-offs and lower reserves. and just as a rule of thumb, $500 million for one year. it's a very rough rule of thumb.
1;3;10;2;1;0.5;good morning.;;;;;
1;3;31;2;1;0.5;good morning.;;;;;
1;5;33;2;1;0.5;good morning.;;;;;
1;6;10;2;1;0.5;good morning.;;;;;
1;6;46;2;1;0.5;good morning.;;;;;
1;12;18;2;1;0.5;good evening.;;;;;
1;13;1;2;1;0.5;good morning.;;;;;
1;13;17;2;1;0.5;good morning.;;;;;
1;13;20;2;1;0.5;good morning.;;;;;
1;14;13;2;1;0.5;good morning.;;;;;
1;14;22;2;1;0.5;good morning.;;;;;
1;15;22;2;1;0.5;good morning.;;;;;
1;17;3;2;1;0.5;good morning.;;;;;
1;17;25;2;1;0.5;good morning.;;;;;
1;24;1;2;1;0.5;good morning.;;;;;
1;24;4;2;1;0.5;good morning.;;;;;
1;24;6;2;1;0.5;good morning.;;;;;
1;24;13;2;1;0.5;good morning.;;;;;
1;30;16;2;1;0.5;good morning.;;;;;
1;30;21;2;1;0.5;good morning.;;;;;
1;32;1;2;1;0.5;good morning.;;;;;
1;32;14;2;1;0.5;good morning.;;;;;
1;33;2;2;1;0.5;great, thanks;;;;;
1;34;1;2;1;0.5;good morning.;;;;;
1;34;14;2;1;0.5;good morning.;;;;;
1;34;16;2;1;0.5;good morning.;;;;;
1;36;7;2;1;0.5;good morning.;;;;;
1;36;10;2;1;0.5;good morning.;;;;;
1;36;12;2;1;0.5;good morning.;;;;;
1;37;5;2;1;0.5;good morning;;;;;
1;37;8;2;1;0.5;good morning.;;;;;
1;37;16;2;1;0.5;good morning.;;;;;
1;37;18;2;1;0.5;good morning.;;;;;
1;53;4;2;1;0.5;good morning.;;;;;
1;55;7;2;1;0.5;good morning.;;;;;
2;34;12;5;2;0.4;good morning. good morning, bill.;;;;;
3;5;1;3;1;0.333333333333333;good morning, guy.;;;;;
3;5;8;3;1;0.333333333333333;good morning, betsy.;;;;;
3;5;45;3;1;0.333333333333333;good morning, matt.;;;;;
3;14;18;3;1;0.333333333333333;good morning, matt.;;;;;
3;15;1;3;1;0.333333333333333;good morning, brian.;;;;;
3;15;4;3;1;0.333333333333333;good morning, jim.;;;;;
3;15;9;3;1;0.333333333333333;good morning, betsy.;;;;;
3;30;1;3;1;0.333333333333333;good morning, brian.;;;;;
3;30;9;3;1;0.333333333333333;good morning, bill.;;;;;
3;32;7;3;1;0.333333333333333;good morning, brian.;;;;;
3;33;1;3;1;0.333333333333333;good morning, bill.;;;;;
3;33;4;3;1;0.333333333333333;good morning, bonnie.;;;;;
3;33;11;3;1;0.333333333333333;good morning, bryan.;;;;;
3;36;2;3;1;0.333333333333333;good morning, dara.;;;;;
3;36;14;3;1;0.333333333333333;good morning, bill.;;;;;
3;55;3;3;1;0.333333333333333;good morning, david.;;;;;
4;3;17;4;1;0.25;good morning. hello, betsy.;;;;;
5;17;34;5;1;0.2;good morning. how are you?;;;;;
6;7;38;19;2;0.105263157894737;we said it was driven by derivatives. cash out of prime brokerage did better. prim did better than cash.;;;;;
6;13;4;19;2;0.105263157894737;north america will be a tough comp. it was very strong in 2015, but europe could be very constructive.;;;;;
7;18;14;11;1;0.0909090909090909;you should be able to extrapolate those numbers on your own.;;;;;
8;60;2;78;7;0.0897435897435897;david, we do not expect to see any deterioration in the progress that we've been making throughout the year. so again, i think we entered the fourth quarter highly confident and in a very strong position with our stores performing incredibly well, great merchandise, a terrific marketing campaign, great digital capabilities and an expanded suite of digital fulfillment capabilities. so we feel very good about how the entire business is set to perform in the fourth quarter.;;;;;
9;10;11;45;4;0.0888888888888889;not specifically, no. i will tell you that while we are obviously delighted with the performance it was a relatively strong market and there were some larger transactions so we're happy with the gains. i can not specifically comment on where it came from.;;;;;
10;16;6;26;2;0.0769230769230769;yes, it's a very competitive business and it's very profitable. so all other things being equal, we would like to continue to gain share.;;;;;
