Rank;Trigram;Frequency
1;long term growth;9
2;Coke Zero Sugar;7
3;We gained share;5
4;commercial real estate;5
5;back half year;5
6;positive price mix;5
7;course couple years;4
8;Coca Cola European;4
9;mid single digits;3
10;high single digits;3
11;fourth quarter year;3
12;And expect continue;3
13;brand Coca Cola;3
14;juice juice drinks;3
15;quarter full year;3
16;In terms China;3
17;volume versus price;3
18;Cola European partners;3
19;pack price architecture;3
20;value beverage category;3
21;Investor Day give;2
22;risk weighted assets;2
23;repo short term;2
24;bunch different things;2
25;long term prospects;2
26;couple years ago;2
27;respect market share;2
28;risk adjusted return;2
29;emerging developing markets;2
30;repricing taking place;2
